primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,class_name,inat_taxon_id,author,license,rating,url,filename,collection
thlwre1,[],"['call', ' song']",-6.5142,-47.3442,Campylorhynchus turdinus,Thrush-like Wren,Aves,7480.0,Dante Buzzetti,by-nc-sa,4.0,https://xeno-canto.org/643358/download,train_audio/thlwre1/XC643358.ogg,XC
linwoo1,['scadov1'],['drumming'],-5.7717,-47.4806,Dryocopus lineatus,Lineated Woodpecker,Aves,17858.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,4.5,https://xeno-canto.org/1034727/download,train_audio/linwoo1/XC1034727.ogg,XC
paltan1,[],[],9.1845,-83.744,Thraupis palmarum,Palm Tanager,Aves,10297.0,bluewater67,cc-by-nc,0.0,https://static.inaturalist.org/sounds/871750.m4a?1704544484,train_audio/paltan1/iNat871750.ogg,iNat
varant1,[],['song'],-23.2112,-47.0579,Thamnophilus caerulescens,Variable Antshrike,Aves,15757.0,Dante Buzzetti,by-nc-sa,4.0,https://xeno-canto.org/665672/download,train_audio/varant1/XC665672.ogg,XC
rivwar1,[],['song'],-25.4481,-48.7635,Myiothlypis rivularis,Riverbank Warbler,Aves,145267.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,5.0,https://xeno-canto.org/469307/download,train_audio/rivwar1/XC469307.ogg,XC
sofspi1,[],[],-34.6477,-59.3541,Synallaxis frontalis,Sooty-fronted Spinetail,Aves,10996.0,Nicolas Olejnik,cc-by,0.0,https://static.inaturalist.org/sounds/360327.mp3?1645490415,train_audio/sofspi1/iNat360327.ogg,iNat
fusfly1,[],"['call', ' song']",-20.7882,-51.703,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves,17076.0,Fernando Igor de Godoy,by-nc-sa,0.0,https://xeno-canto.org/325897/download,train_audio/fusfly1/XC325897.ogg,XC
bucmot4,[],[],5.2308,-75.4883,Momotus momota,Amazonian Motmot,Aves,204447.0,Sergio Córdoba-Córdoba (Colección de Sonidos Ambientales - Instituto Humboldt),by-nc-sa,4.0,https://xeno-canto.org/532573/download,train_audio/bucmot4/XC532573.ogg,XC
orwpar,['smbani'],"['call', ' song']",-16.4353,-49.3948,Amazona amazonica,Orange-winged Amazon,Aves,18982.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,4.5,https://xeno-canto.org/930893/download,train_audio/orwpar/XC930893.ogg,XC
saffin,[],[],-12.0792,-77.0687,Sicalis flaveola,Saffron Finch,Aves,9864.0,Unknown,cc-by-nc,0.0,https://static.inaturalist.org/sounds/390986.mp3?1649754089,train_audio/saffin/iNat390986.ogg,iNat
oliwoo1,[],[],-22.9567,-43.216,Sittasomus griseicapillus,Olivaceous Woodcreeper,Aves,11511.0,Victor,cc-by-nc,0.0,https://static.inaturalist.org/sounds/1047997.mp3?1716154356,train_audio/oliwoo1/iNat1047997.ogg,iNat
fepowl,"['undtin1', 'ruftof1']",['song'],-13.8891,-50.1832,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,19822.0,JAYRSON ARAUJO DE OLIVEIRA,by-nc-sa,4.5,https://xeno-canto.org/901152/download,train_audio/fepowl/XC901152.ogg,XC
